#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-12T04:05:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VOTx36781 
#INFO MaxTuples=50000 
#INFO queryParameters=9 
#-oc.form=D.
#-source=I/311/hip2
#-c=Canopus,rd=40,eq=J2000
#-out=RArad
#-out=DErad
#-out=pmRA
#-out=pmDE
#-out=Hpmag
#-out=B-V
#
#INFO -c=095.987958-52.695661,rd=40. 
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys J2000_1991.250: eq_FK5 J2000    
#Table I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#---Details of Columns:
    RArad (deg)   (F12.8) Right Ascension in ICRS, Ep=1991.25 [ucd=pos.eq.ra;meta.main]
    DErad (deg)   (F12.8) Declination in ICRS, Ep=1991.25 [ucd=pos.eq.dec;meta.main]
    pmRA (mas/yr) (F8.2)  Proper motion in Right Ascension [ucd=pos.pm;pos.eq.ra]
    pmDE (mas/yr) (F8.2)  Proper motion in Declination [ucd=pos.pm;pos.eq.dec]
    Hpmag (mag)   (F7.4)  Hipparcos magnitude [ucd=phot.mag;em.opt.V]
068.03074413 -77.47738129   -10.72    -7.48  8.9967  1.003
068.04568898 -60.52544359    26.85    47.35  9.4782  1.087
068.05133385 -45.79926014     3.84    17.24  8.2316  1.200
068.07856083 -30.10748025     2.56     0.75  8.9296  1.184
068.08654708 -43.95718744    12.05   -22.04  9.3011  0.628
068.12153143 -55.97218671   -16.26   -16.12  9.2826  0.481
068.12144650 -64.85339697    25.39   -12.90  8.9528  0.844
068.12798036 -56.22630161    43.01    89.33  8.6566  0.561
068.14735217 -40.20830793     7.63     7.53  8.4223  1.524
068.15444577 -43.43419393    30.32    13.17  8.9810  1.172
068.15760229 -25.20492490     5.19    18.00  8.0795  0.259
068.16969052 -50.47166478    14.72   -24.61  9.3218  0.868
068.17416108 -51.75470238     0.74     9.03  9.5829  1.208
068.17881835 -47.20982690    -7.60     4.45  9.8565  0.207
068.18019174 -55.59708517   -15.30   120.45  8.2632  0.412
068.19678903 -65.25143634    12.13    18.80  8.5206  0.887
068.20187888 -47.71693377   -42.16    24.30  9.8818  0.534
068.23814034 -33.09706328    43.78    69.93  8.1875  0.034
068.23840505 -35.70133854    20.07   -39.86  8.2299  0.939
068.24307602 -70.89692999     6.88    -8.37  9.1973  0.490
068.25635893 -38.28341150    24.86    25.71  7.6980  0.241
068.26122735 -78.36996494     1.68    16.99  8.9789  0.033
068.26195547 -26.23072744     9.01     5.12  8.9677  1.195
068.26533124 -31.12527496   -12.16   -12.14  9.2775  0.388
068.28344337 -19.35849478    46.60    22.27  8.1751  0.480
068.28755143 -67.31698698     4.79     5.72  8.7291  1.538
068.28897918 -36.94615165   -16.33    42.43  8.8794  0.990
068.29108597 -39.48572754    61.38    64.41  7.7861  0.446
068.29103762 -25.55989260   -12.80    -6.59  7.3648  0.446
068.31144013 -32.05826724     0.44     7.54  9.0541  0.336
068.31754381 -21.13485625   -31.25  -187.78  9.9324  0.682
068.32444171 -84.37637258     6.14    44.70  8.9232  1.038
068.33256980 -21.37576709    -1.79   -32.38  9.2183  0.997
068.35352750 -23.93876458    13.26   -19.45  8.7288  0.258
068.35575350 -38.30344670   468.68   150.91 11.0728  0.566
068.35834757 -22.85000351  -115.14  -417.19 11.3427  0.956
068.37762289 -29.76583176  -114.78  -271.79  4.6619  0.972
068.38672816 -63.02920484    12.12    14.53  9.2208  1.099
068.39208211 -62.82363055  -117.19   -19.02  5.9522  1.028
068.39228568 -46.92170785    -1.60   -12.50  9.2363  0.549
068.45279135 -40.90464879    53.56    46.37  9.2700  0.969
068.47763995 -19.17807104     2.45    -7.42  8.7587  1.053
068.49882662 -55.04500553    57.75    10.93  3.2372 -0.079
068.50487334 -43.52451781    59.10   -76.27  8.9405  1.106
068.51035924 -59.81011941    43.93   102.15  9.2760  0.724
068.51105085 -28.44955356   -18.25   -37.92  6.9402  0.407
068.51089145 -29.20413264     5.36    -1.88  8.9148  0.998
068.52980239 -30.57439982    -3.28   -50.72  8.2139  0.354
068.56432672 -73.20891729    -0.21    57.19  6.9604  0.919
068.56909332 -48.44277718     3.83    -6.10  9.0287  1.461
068.56981473 -56.75923146    -1.53     8.11  8.8526  0.913
068.60699565 -66.19306600   -21.27   -45.32  8.7922  0.501
068.62629699 -28.15953305     5.91    -9.24  9.0382  1.488
068.63274968 -61.70301058     9.27    -5.95  8.8986  1.185
068.63844946 -58.24068756   -15.66     2.84  8.7192  1.253
068.63974842 -60.80275036    19.82   -15.44  9.7057  0.692
068.64548923 -72.73383236    28.94    50.70  7.0613  0.214
068.65129102 -40.83297007    -0.84    -8.64  9.3350  1.256
068.65356573 -33.64620578    15.57    35.61  7.5732  1.110
068.65888453 -24.04054370    15.16    17.09  6.5418  1.137
068.66070408 -35.65750564  -100.05  -225.04  7.7505  0.776
068.66856042 -41.22976781     0.07    20.63  8.6583  0.290
068.67349953 -76.11192274    -2.25    -0.93  9.7742  0.583
068.68243706 -34.81868299    -7.53   -18.83  7.2926  1.400
068.68398477 -59.15185832    32.96    37.90  8.3773  1.184
068.68723868 -42.02929933    -5.28    -7.63  8.2755  1.645
068.72110341 -69.08337134    24.94    44.11  9.2422  0.404
068.72755545 -25.03891863     2.76   -39.23  7.4902  0.478
068.72953275 -35.57624886     0.64    12.59  7.2059  1.014
068.73768187 -33.34558667    53.14    30.71  8.0718  1.089
068.74044418 -52.71271163     6.59    13.55  8.4123  1.137
068.74660625 -35.94864023    -4.18   -11.92  8.9934  1.121
068.75269701 -19.92152113   102.25    56.86  6.2922  1.174
068.75889657 -25.97196270     6.11    -5.30  8.7247  1.202
068.76686054 -40.01540139    -7.05    -7.79  9.1592  0.289
068.76839677 -20.74346725    25.30     8.40  7.8197  1.011
068.76875137 -41.56368034    77.34   -18.43  8.7367  0.629
068.80369940 -29.63636937     6.89    16.66  9.9034  0.186
068.81278737 -29.35747655    51.43    20.64  8.8841  0.917
068.81412986 -43.99785380    31.72    17.73  9.7951  0.522
068.82375738 -24.53296278    88.85     0.07  6.8005  0.497
068.86746103 -54.89141817    46.29    54.66  8.0232  0.596
068.87357217 -50.97903810   -12.62     8.74  9.1569  1.183
068.88150104 -48.73258938    91.95    11.50  9.5208  0.955
068.88672022 -74.37120435     3.87     9.70  8.8906  1.527
068.88779881 -30.56231068   -49.27   -12.72  3.9730  0.957
068.89366970 -52.80567766    -8.97    17.70  9.6311  0.474
068.89827726 -62.64830330     2.74     1.65  9.0593  1.717
068.91686199 -42.00154507    -4.59    -2.97  9.4940  1.100
068.92181489 -57.42615144    35.34    49.91  8.1431  0.503
068.93118137 -19.22344322     8.42   -11.84  9.7363  0.664
068.93563848 -66.90925558     1.05    31.27  8.9700  1.085
068.94008890 -21.33983538   113.10   -41.58  8.3132  0.660
068.94635412 -68.23807924    23.29    67.85  9.6679  0.457
068.95850648 -20.01511010    -8.61    -3.54  8.6156  0.485
068.97420446 -20.17330430    74.98    22.68  8.7169  0.910
068.98686192 -38.17372756    19.07    43.51  9.1145  0.216
068.99132526 -71.94525620    19.27    21.81  9.2211  0.864
069.00094925 -47.65513888   -24.66   -55.70  9.9965  0.700
069.00275285 -53.24913148    -2.73   -25.02  9.1471  1.312
069.01572584 -18.72604418    -6.31   -22.83  9.6630  0.480
069.01853413 -45.13638843    65.07    14.03  7.3993  0.433
069.06323933 -39.41453285    99.74    15.88  9.1586  0.671
069.06971578 -21.31780648    -1.90    10.87  8.3390  0.839
069.09166551 -22.25586458   -19.31   -15.31  8.5135  1.047
069.09592601 -30.83238405    30.05     4.97  8.9707  0.534
069.10017453 -43.45094554    -5.24   -31.10  8.8938  1.075
069.10736465 -82.58251746   174.14   147.62  9.6236  0.865
069.10686803 -37.82586217    10.35   -78.58  7.2922  0.401
069.10781553 -46.27610865    14.40    16.48  8.9631  1.060
069.11119594 -46.48547538   122.42   169.43 10.6736  1.058
069.12816639 -54.62122603    22.80    32.40  8.5905  0.279
069.13510363 -42.32387980     5.45     0.34  9.0811  1.141
069.14137633 -27.57867137     0.83    -3.81  9.0662  1.284
069.14850924 -27.04780722    12.88   -18.95  7.4532  0.496
069.16597709 -26.42937349     9.03    38.31  8.7535  0.516
069.16797447 -22.27970426    -6.40    13.44  8.3328  0.114
069.16815889 -57.54463004    32.00    12.36  9.4195  0.907
069.19032364 -62.07698175   -69.36   -75.78  4.6635  1.500
069.19489736 -83.49673286   -13.69    72.67  7.3155  1.093
069.19612854 -49.17148289    -4.00    -2.67  8.7975  1.067
069.20517176 -66.43071919     6.44    11.36  9.4668  0.024
069.21225101 -30.71679507   -14.23     7.03  6.2562 -0.095
069.22993736 -41.26155175     2.93    20.70 10.0258  0.455
069.25007113 -35.61943490     5.28    22.08  8.0754  1.348
069.25169676 -51.84068099     2.00   -23.07  8.5335  0.857
069.25794165 -28.95280274   -30.72   -14.78  8.7515  0.539
069.25861150 -25.17280735    34.68    31.85  9.1839  0.335
069.27348834 -30.42931292    -1.87    26.06  7.0589  1.300
069.28050264 -54.86205965    21.05    30.57  9.1288  0.604
069.29036580 -25.55629550     4.81     4.45  8.9127  0.631
069.30462428 -73.84337923    13.95    37.70  7.9456  1.251
069.30617171 -22.61489661    17.07    -2.31  7.8701  0.015
069.31386002 -79.45933943    14.60    38.38  8.1499  1.085
069.32109548 -23.04861175     7.32    17.64  7.6563 -0.087
069.32572966 -72.47684640    -1.14    17.47  7.9353  1.353
069.32849541 -49.77078978    -9.62     7.46 10.2712  0.402
069.33020078 -41.87306429    25.25    50.27  6.4531  0.167
069.33321787 -70.07108471     7.32     9.25  9.5267  0.380
069.36322064 -33.30426773   -80.73    15.70 10.3113  1.000
069.37043155 -54.65647687   120.91    66.91  9.4980  0.569
069.37310757 -40.53117177    31.18   -40.15  9.7416  0.689
069.39004259 -64.12244114    26.77    36.96  9.5733  0.603
069.40138893 -28.18168292    61.28    49.28  9.4634  0.703
069.40995423 -29.90382620    14.59   -92.42  8.2243  0.488
069.43177340 -26.77960572    59.02    -5.63  8.2385  0.108
069.43532908 -48.29429128    11.52    16.45  9.0872  0.907
069.43543692 -31.41054630    -4.52   -21.14  8.2923  0.991
069.46270018 -44.78154800     0.10    16.01  8.9236  1.013
069.49651615 -20.68802842     0.30     8.75  7.2295 -0.115
069.50614326 -27.26115028    69.25   -11.89  8.2222  1.252
069.50945480 -49.81263500    14.05    29.19  9.3044  1.021
069.53163118 -58.20387701   -25.79    27.36  6.7717  0.932
069.54081807 -34.11028640     3.40   -26.63  7.9818  1.047
069.54279881 -44.62641366    19.77    32.30  7.9747  0.317
069.54938206 -20.84175173    26.38   -34.11  9.4582  0.584
069.55498260 -68.81168340     8.36     7.27  8.1002 -0.022
069.56570153 -43.23837017     1.71     4.60 10.5724  0.180
069.56738601 -24.65856443     2.17     4.25  8.5520 -0.145
069.57662056 -47.14156079     1.26   -14.85  9.4457  1.304
069.58905131 -65.41904127   732.34  1249.70  9.9787  0.639
069.59060153 -77.65597761    -7.16   -10.78  6.2132  1.080
069.59781563 -40.58986079   -15.89    20.19  9.1968  0.580
069.61627835 -31.15359910    -0.38   -26.05  9.2362  0.982
069.62010319 -19.64084558    -9.17    -1.89  7.2055  0.255
069.63455341 -40.18508951   231.53   179.79  9.3222  0.646
069.68293829 -27.03380796    56.03   -11.08  8.6006  0.611
069.70533400 -62.37860868    -2.72    30.93  6.8382  0.194
069.70740100 -69.45417484    14.32    25.06  8.2336  1.552
069.72223312 -18.98672499    -4.03     0.63  9.9922  0.195
069.72309243 -51.45028976     8.94    11.04  8.9906  0.962
069.72525285 -58.98062096    18.79    21.55  7.2636  0.188
069.72749071 -18.88723658     9.47     0.65  9.1857  1.071
069.73338516 -25.70594539    11.82   -28.61  7.4705  1.039
069.73415232 -37.33112531    -1.50    -5.69  8.6393  1.046
069.73503664 -36.17939918    22.67    -9.29  8.9799  1.136
069.73543308 -27.91161764    13.92     1.34  8.0368  0.349
069.76059472 -56.16614243    -7.36    -9.97  9.4683  0.521
069.76807631 -50.47958528     0.76   -31.23  9.2206  0.397
069.76787037 -51.67279604    13.26    17.58  6.6022  1.321
069.80838995 -54.17584955     9.90    10.68  8.6934  1.084
069.81230928 -30.59362204    23.13    21.38  9.0529  1.005
069.83218874 -33.43023622     9.05     1.05  8.2173  0.503
069.84505459 -30.45663557    14.30     7.48  8.2250  1.476
069.85601904 -56.88888781     2.31     1.66  8.2465  1.483
069.86637064 -33.99894880    22.52   131.10  7.8528  0.927
069.88162333 -45.12344313   -55.92   -80.84  9.0180  0.910
069.89562043 -21.23976114    11.72    21.25  9.1705  0.640
069.90424225 -21.24759911    12.32    21.43  7.3417  1.200
069.92833679 -45.04556670    41.64    48.84  8.5607  0.533
069.93068869 -65.66630917    27.81    34.45  8.3889  1.111
069.93509903 -43.38371619    11.00    34.63  9.0080  0.470
069.94644293 -35.16659490    14.80    16.21  8.8573  0.491
069.95229860 -78.80695225   -24.34   -35.71  9.4405  0.554
069.95444972 -20.06673045    -3.43   -28.14 10.4080  0.270
069.96404632 -35.64400693    -7.44    39.25  8.5545  0.470
069.99219439 -71.50552970   -71.11   -34.68  7.9048  0.747
070.00533570 -31.07571955    14.04   157.99 11.1894  0.000
070.01620357 -22.61417313     5.62     6.01  8.7619  0.121
070.02852577 -24.48241116   -69.63    17.30  5.7241  0.926
070.03295579 -35.01874363    -8.77   -35.55  8.2463  1.054
070.05918727 -38.80701054   -14.78    -6.83  7.5897  1.216
070.06331937 -27.73500340    -1.23   -28.29  8.9757  0.342
070.07383641 -58.94433528    27.13   173.78  6.6698  0.677
070.07662284 -46.29321027    -0.26   -25.81  8.8099  0.680
070.11039166 -19.67125723    29.13   -96.42  4.3758  1.599
070.12537487 -38.23525129    -5.40    -5.83 10.5232  1.500
070.13996203 -70.85675804     9.80     9.73  9.9278  0.144
070.14092924 -41.86357022  -140.39   -74.82  4.5287  0.342
070.14257284 -48.53829910     6.04    24.76  7.0664  1.100
070.14389274 -63.00415136    15.26    24.14  9.5738  1.054
070.14409673 -26.07820462    -0.07    -7.70  9.1616  1.089
070.15764161 -25.77199038    35.12    54.53  8.5639  0.336
070.17684564 -28.20055182   -16.25  -283.55  7.8790  0.621
070.18854131 -23.05225483    36.54     2.34  8.9464  1.160
070.20201201 -39.84400736    24.41    42.70  9.1100  0.196
070.20249825 -39.85307648    25.88    46.05  8.3827  0.233
070.20259265 -45.79305051   -19.72     2.60  7.5504  0.123
070.20309751 -56.03094251    30.85    42.57  7.8263  0.337
070.20495641 -62.80090759    25.16    21.53  8.5651  0.552
070.22715340 -33.06547783    17.82    -0.03  9.4316  1.116
070.23377084 -42.50098886     2.40    13.32  8.9096  0.475
070.24398699 -29.38331293    43.30     3.30  9.2125  0.584
070.25188109 -32.22658331    29.43    18.61  8.8029  1.256
070.25380636 -53.86821302    17.45    35.66  9.5305  0.402
070.26114693 -60.84586835     0.62     3.61  8.5610  0.364
070.26153155 -22.38463081    14.70     3.58  9.5044  1.016
070.26398266 -39.58304362     5.84    10.94  8.0839  0.633
070.26448433 -45.70485273   -13.92     9.51  8.6013  0.321
070.27824390 -64.44286155     1.81    13.03  9.5672  0.287
070.30163952 -65.31209322    27.66   -41.72  9.5216  0.656
070.33231693 -52.62526816   -42.62  -217.04  8.2629  0.528
070.37215253 -43.90073569    36.05  -108.59  8.8168  0.978
070.37895321 -23.97645719     2.03     6.81  7.4084  1.697
070.39459104 -68.60764185    -1.84   -15.39  8.2394  1.131
070.39631827 -43.00945921    23.16   -42.32  9.5180  0.505
070.40250762 -66.90029646     3.38   -13.91  8.2344  1.241
070.41406459 -48.15682939    19.33    12.25  8.7353  1.088
070.42610267 -52.31230232    -2.31    52.28  8.2594  0.405
070.42732573 -32.84563166   186.26    15.65  8.7391  0.609
070.43838590 -61.21773756     8.23    12.53  7.7125  0.081
070.44227162 -47.26002366    54.44    98.81  6.9119  0.745
070.44428616 -45.30749615     6.69    13.03  7.9129  0.049
070.46583415 -47.82595222   -28.34   -39.16  7.4410  0.300
070.47625142 -58.02072763    66.15   -11.45  8.5469  0.773
070.47757372 -44.91596397   -12.63    10.76  8.8014  0.362
070.49572732 -50.51871860    -6.27    15.83  8.3405  0.918
070.49871423 -54.80045671    -8.49    46.81  8.1070  1.136
070.51373667 -29.63220960   -22.79    53.07  8.8820  0.484
070.51435914 -37.14476605    46.59   193.56  5.1297  0.391
070.52196291 -33.91909674   -37.18  -294.16 10.0676  1.199
070.52390605 -61.09250808     2.89     3.32  8.6330  1.153
070.53396732 -37.61349475   -13.89    11.21  6.9305 -0.034
070.53716585 -35.47612442   -32.12   -28.16  8.5455  0.656
070.54312287 -56.11898867    38.82    60.67  8.1428  0.476
070.55662461 -49.38063560    52.36   -17.03  9.9339  0.930
070.57384056 -60.40712936    10.39    20.52  8.8937  1.465
070.57670619 -41.30886830    -5.30     0.36  9.3627  0.945
070.57900735 -44.34906803  -231.58   -21.15  9.8968  0.688
070.58316478 -61.62128512    14.89   243.07  9.0077  0.812
070.58523708 -29.71206036    51.89  -192.50  9.2024  0.560
070.58753028 -63.21568850    15.51    34.45  8.1222  0.430
070.59256324 -23.17794267   -12.64   -10.82  6.9138  1.579
070.59516657 -41.72980671    32.13    18.10  9.5745  0.980
070.60209277 -71.49588451   -24.12    -6.98  8.3602  0.509
070.63217875 -20.97310979     2.12    -1.86  7.8674  0.538
070.65028873 -69.07830703    -1.28    -7.32  9.7329  0.577
070.67005280 -38.85738348     6.55    11.71  8.7390  1.019
070.69356882 -50.48141821   -36.02    34.35  5.4629  0.977
070.69925563 -67.40679567   -42.22   -46.80  9.3239  0.477
070.70394601 -20.14003702     3.72    -0.68  9.7657  1.530
070.71457741 -34.21663759    27.65     2.58  7.7177  1.165
070.72995336 -45.31552298   -10.52    -6.44  9.5462  0.935
070.73149248 -31.70877175    10.06     4.89  7.5861  0.299
070.73562615 -44.19527117   -78.13  -170.93 10.1099  1.197
070.74416354 -33.43268471   -15.84   -94.58  8.5582  0.540
070.74491859 -24.30135923    39.06    46.61  7.5991  0.356
070.75299009 -81.50433818    -2.61   -36.56  8.3030  1.237
070.76614974 -22.32228140     1.16    -3.83  8.5722  0.705
070.76644513 -70.93111202     9.32    34.93  5.4909 -0.114
070.77515942 -50.21973652    34.67    41.74  9.0721  0.584
070.78079910 -34.84765302    16.20    -1.25  8.5303  1.087
070.78880755 -30.76539548   -30.27   -66.65  5.8079  1.391
070.80680647 -54.59294401    51.42  -198.30  7.7537  0.746
070.81230159 -41.10493934   -50.53  -133.99 10.4069  0.847
070.82155002 -23.62831593    50.25   -11.84  7.2093  0.411
070.82699597 -82.51988036    53.42    50.05  7.8557  1.591
070.82719609 -74.65953307    14.43    18.99  9.6199  1.136
070.83484933 -47.22156447    29.84   -20.56  7.4799  1.517
070.83757839 -48.83434868    -6.47    11.81  9.2770  0.981
070.86352679 -58.78958903     0.38    10.03  8.3507  0.259
070.87349747 -52.54603506    38.41     6.74  7.3377  1.346
070.88130971 -41.75352406     6.58   -14.61  7.9311  1.167
070.88799190 -66.74279503    36.31    70.96  8.6415  0.711
070.89176004 -28.66432947   -22.78     1.32  9.4183  0.969
070.90001948 -84.81108963    -2.29    -1.03  9.2874  0.564
070.90025788 -56.37330403    -2.86    16.80  8.6260  1.564
070.90235399 -48.30443232    18.14    39.15  8.1021  1.068
070.91145795 -58.55591870     0.45     8.34  8.3990  1.426
070.92162436 -32.25738951    -3.02    -6.29  8.3993  1.450
070.93443171 -41.06481334    10.82    10.93  6.3662  1.468
070.93479226 -52.26341252    53.46    48.94  6.7125  0.374
070.94601704 -20.35182063   -21.34     3.12  7.6247  0.997
070.95658440 -48.32764220     4.75   276.85  7.0149  0.498
070.95756090 -24.77939108     0.22     8.92  8.2856  0.261
070.96322456 -72.13589695     9.95     2.50  8.8233  1.377
071.00432658 -78.02149334   -21.97   -15.69  8.6147  0.109
071.00836291 -25.91882474    16.04   -31.41  8.3814  0.465
071.01301484 -21.10693562    25.98     0.72  8.4357  0.979
071.01969639 -76.30574664   114.60    97.47  7.8551  0.513
071.02061188 -31.48606265    13.50   -48.69  7.6926  0.968
071.03312422 -18.66654312    52.64   -17.63  5.5474  0.025
071.04265392 -46.26783125    37.10    -8.52  8.0761  1.098
071.04322596 -38.70517867     4.37    21.65  9.6932  0.990
071.04487460 -28.23267027   102.90     2.51  9.7550  0.859
071.06367747 -27.57782214    16.89   -24.50  6.8812  1.497
071.06847179 -52.62832220     3.18    32.66  8.2973  0.316
071.08799646 -59.73284054    29.74    43.98  5.3404  0.206
071.09742821 -36.45391228   -13.18    -6.12  8.5559  1.122
071.11939118 -27.24579474     0.98    22.34  9.2798  1.353
071.12123216 -27.94886251    -2.73     3.78  7.3228  0.931
071.13464847 -18.89639459    16.95     4.72  8.7257  0.414
071.13486314 -53.26093001    -1.63   -10.68  9.5809  1.198
071.14380285 -51.59308989    17.18    16.13  9.5381  0.457
071.15524226 -25.69650305   -12.57     4.68  8.9684  0.362
071.17409812 -37.12100311   -51.05  -131.98  9.6809  0.950
071.17911292 -47.41165645   248.73   -63.14  8.4692  0.606
071.19302332 -20.01412919    50.73    45.86  8.7608  0.718
071.19612954 -26.76837715    -8.42     5.14  8.1869  0.955
071.19873955 -51.27833813   -60.41   -90.96  8.2919  0.526
071.20183704 -32.87670328   352.59  -190.73  9.9541  0.438
071.20206853 -44.55213789     7.22   -17.91  7.8885  1.450
071.20623426 -43.01770398    -0.70    -6.81  9.4364  1.143
071.21278995 -63.77938939    -2.89   -38.37  9.1763  1.025
071.21414852 -64.97617640    13.23   -18.45  9.1132  1.042
071.22090538 -46.39660904   -28.69    62.76  9.4429  0.653
071.23143945 -20.27380702     4.26    11.89  8.2262  1.643
071.23271171 -63.30966434    16.93    16.29  9.0663  1.191
071.24130627 -63.22970771   -10.25    -2.77  6.6320  1.077
071.24509935 -56.29461910    -0.68   -46.36  8.0525  1.061
071.26133803 -62.49326882    24.44    29.05  9.0735  1.550
071.26729430 -21.28334116    16.63   -16.51  5.8437  1.476
071.28197540 -33.03133216    13.51    33.04  8.1972  0.483
071.28214523 -68.02133233    40.19    68.23  8.1404  0.496
071.28379610 -30.94118501     4.79    14.84  8.7868  0.383
071.32740388 -26.03910794     6.22     3.43  8.4380  1.567
071.35931667 -80.64137051    19.80    52.39  8.2896  0.475
071.34337814 -72.50230315    14.41    15.77  8.8458  1.603
071.34677287 -41.96204700    -4.97    -8.85  9.4724  1.089
071.36827920 -51.97957670    -0.37    -5.47  9.0683  1.522
071.39574406 -42.55434382    -0.52    18.97  7.6475  0.074
071.39641206 -53.43091704    28.85     0.48  9.9083  0.533
071.40631692 -30.66264676    -1.40     6.31  9.1510  1.087
071.41241148 -43.89716459   139.34    21.53  9.0317  0.955
071.41243816 -50.07341034  -446.09  -336.70  7.7289  0.875
071.41803007 -28.65887186   -10.43   -28.89  8.2366  1.071
071.42239584 -76.30460616    18.02    43.01  8.7981  0.940
071.45682073 -34.00504541    42.67    16.09  6.8551  0.002
071.47472268 -48.03541965  -144.98   -78.39  9.3600  0.825
071.48122966 -39.35657300   -57.55   -18.19  6.2068  1.065
071.48175896 -66.51898157    61.23   217.78  8.9515  0.560
071.49333020 -50.62048097    14.73    12.85  8.8622  0.980
071.49398463 -45.71977885    -1.55    10.55  9.0366  0.894
071.49386944 -63.55791646     7.75    78.38  8.2661  0.999
071.49638429 -66.07878411    28.67    33.65  7.4745  0.432
071.50555288 -70.16103551    -0.92   -24.45  9.9247  0.010
071.51953561 -25.15925463    71.19    53.17  7.6153  0.443
071.52414051 -29.06218193   133.46    49.48  8.9673  0.675
071.52763959 -33.64659653   -15.97  -117.01  9.6694  0.587
071.52885994 -77.02101447    21.23    63.40  8.9089  0.493
071.53312239 -27.39508852     5.65    33.39  9.7271  0.676
071.53904494 -59.90771619     9.12    17.93  9.2254  1.336
071.53964214 -49.24594087    36.52    36.85  7.8175  1.472
071.58178491 -39.91315282   -11.64     5.54  9.5971  0.595
071.58271729 -38.11390333     1.31    -7.80  7.7272  1.031
071.59323957 -51.05696182    -8.71   -18.01  8.9580  0.931
071.60730213 -28.08748822    -3.82    17.58  6.2378  0.189
071.61011047 -35.80618473     4.38    39.15  7.9121  1.219
071.61170820 -17.82277293    59.46    70.28  8.0177  1.077
071.61563849 -41.09223197     4.24   -36.54  9.2995  0.520
071.61686466 -54.87041479   -41.51   -40.86  8.6953  0.499
071.61796656 -44.25664068    -9.57   -25.44  9.4447  0.485
071.62991265 -59.22516074     9.35    22.77  9.2411  1.256
071.63301956 -37.45592528     2.93     1.42  7.7482  1.472
071.64391871 -22.77961080     7.73   -22.68  8.4510  0.489
071.65634763 -68.54613900   -10.97    44.25  7.3256  0.568
071.65946840 -71.10660774    22.76    87.96  8.1863  0.895
071.68153818 -42.61713555    28.14    14.61  8.8428  0.484
071.68460504 -73.91853030    72.94   -19.75  9.4360  0.667
071.70627750 -26.30244666    34.52    -4.13  7.9525  0.393
071.70954842 -18.39929289    -3.59   -12.16  7.9997  0.498
071.71207870 -21.68788781     2.89    -7.05  9.1550  0.397
071.71748577 -60.60384557    50.44   131.35  7.8498  0.581
071.73841183 -21.21148133    16.08    17.88  7.2711  1.020
071.74029274 -55.77970579    18.15    41.75  8.3700  1.013
071.74561530 -29.40761599   -13.95     6.09  7.6703  1.029
071.75500754 -38.30893672    15.31     3.86  7.5009  0.934
071.76854109 -67.11475768    -0.41     2.29 11.2998  0.104
071.77853121 -59.13711887    14.17    12.48  6.9624  1.044
071.81401036 -62.82901271   -15.68   -17.55  7.9684  0.441
071.82121176 -33.61394063    34.23   -67.82  8.6343  1.083
071.82885258 -36.20934511    -0.66     7.14  7.6643  2.391
071.83271715 -74.61241421     8.74    18.31  9.0094  1.118
071.84028477 -61.47605734    47.80   -24.20  7.3268  0.448
071.84230875 -57.14925156     8.56     6.33  9.3966  0.409
071.84766121 -22.56046404    51.24   -82.38  9.0842  0.803
071.86863406 -31.90456183    79.28   -15.90 10.0702  0.678
071.87508048 -55.68491593     3.20     0.27  9.9715  1.500
071.87534551 -49.85956171    95.52    20.12  9.7998  0.679
071.88344212 -75.07535880     7.51    11.44  8.3286  1.543
071.89437233 -79.80724298    -4.75     1.77  7.9330  0.362
071.91681553 -44.26849972   -24.89   -32.23  8.1930  0.326
071.92202855 -20.39358459    11.20   -14.90  9.0368  1.208
071.94152313 -46.04371863    51.33   -13.57  9.0431  0.513
071.94347602 -38.06528126     8.62    14.14  9.3333  0.605
071.94403384 -20.80971387    -5.24     4.53  8.1056  0.213
071.95318053 -58.36151248     2.74    59.03  8.6545  0.660
071.95649040 -30.02059720    28.93    92.67  6.5161  1.071
071.96065060 -40.44589698   -50.80   -30.04  9.4227  0.974
071.99947681 -41.89214377   -14.71  -120.10  9.3123  0.956
072.01607357 -39.98141403    11.75    12.38  9.9796  0.467
072.02084100 -80.77933778    46.66    41.30  8.2566  0.538
072.02681591 -63.48030601   -27.99    -9.58  7.3217  0.979
072.04799985 -56.81727230    10.37    -4.91  7.5936  1.507
072.07817910 -26.85376827    54.16    -4.77  9.8121  0.655
072.08034204 -19.72980518     5.93    -4.80  7.8778  1.639
072.09750775 -19.85236583    16.39    -2.43  7.6448  1.595
072.10673297 -45.01090066    26.02    24.48  9.6587  0.407
072.11803199 -28.41941791   238.11    49.67  9.2559  0.795
072.12639138 -52.62934436    62.02   190.84  8.9455  0.635
072.13185939 -49.79272110   -16.02   -11.65  7.5039  0.970
072.14073762 -43.98003987    10.83    25.62  6.8724  0.948
