#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-22T10:03:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VOTx36145 
#INFO MaxTuples=50000 
#INFO queryParameters=8 
#-oc.form=D.
#-source=I/311/hip2
#-c=207.91670996081834 -59.84812460577989,rd=60.0,eq=J2000
#-out=DErad
#-out=pmRA
#-out=pmDE
#-out=Hpmag
#-out=B-V
#
#INFO -c=207.916710-59.848125,rd=60. 
#

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#Coosys J2000_1991.250: eq_FK5 J2000    
#Table I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#---Details of Columns:
    DErad (deg)   (F12.8) Declination in ICRS, Ep=1991.25 [ucd=pos.eq.dec;meta.main]
    pmRA (mas/yr) (F8.2)  Proper motion in Right Ascension [ucd=pos.pm;pos.eq.ra]
    pmDE (mas/yr) (F8.2)  Proper motion in Declination [ucd=pos.pm;pos.eq.dec]
    Hpmag (mag)   (F7.4)  Hipparcos magnitude [ucd=phot.mag;em.opt.V]
    B-V (mag)     (F6.3)  Colour index [ucd=phot.color;em.opt.B;em.opt.V]
------------ -------- -------- ------- ------
-62.58686530  -238.72   131.91  8.9612  0.683
-28.82026576    -8.95     4.76  9.4700  0.200
-56.48384115   -11.55     0.96  8.4441  0.005
-42.38305749   -21.73     5.18  6.7395 -0.054
-67.29534961  -161.45    52.27  8.4357  0.570
-49.90505535   -23.77    17.60  8.8797  1.035
-78.28295382   -33.68    21.62  8.2594  0.412
-44.46782482   -21.08     4.71  6.7479  1.319
-15.04166276   -25.80     7.10  9.4715  0.508
-33.39893683   -14.27     1.91  8.7492  0.109
-67.28576008    23.82    19.79  7.4737  0.931
-24.98777603   -20.05     1.73  8.4354  1.424
-55.54929127   -60.69     7.52  6.8090  1.108
-53.23431253   -11.35    -0.30  8.9511  0.039
-42.35700902   -11.73     3.53  8.2169 -0.003
-54.47835931   -14.26    12.92 10.2433  0.991
-69.63663048    50.54    33.00  7.9831  0.463
-54.97421491   -12.88     2.86  6.1046 -0.155
-55.68946605   -13.10     1.23  7.9176 -0.026
-36.51773519   -28.21     7.19  6.3333  1.058
-58.73629023   -13.12     7.67  9.1636  0.951
-77.08806633   -13.11    -0.28  8.8003  0.250
-41.34504767    -4.19    -5.64  9.7383  0.359
-60.73790361    -6.75     4.33  8.6315  0.547
-43.11224116    22.51   -53.02  5.7060  1.520
-62.53701142    -6.08     3.78  7.0353 -0.027
-47.99285126   -27.38     0.93  7.8833  0.943
-58.17445594    -4.19     2.12 10.9673  1.174
-18.93454182   -84.20     9.90  8.3497  0.425
-35.47952815   -13.94    28.03  8.0421  1.397
-49.22416273   -24.78     8.37  7.7631 -0.103
-70.26324674    -3.94    11.64  8.1763  0.284
-39.29145260   -88.92    11.34  8.3781  0.436
-51.25670783   -10.05     7.23  7.9748 -0.043
-48.56487945     3.95    -1.87  8.4856  0.930
-31.48120729     0.59    -5.23  8.3303  1.627
-78.07014246    -4.63    80.30  9.9560  0.716
-31.20139936    -3.12   -20.84  7.9110  0.268
-52.64373392   -20.82    12.58  7.9024  1.106
-40.34121417   -45.74    -9.13  8.2517  0.527
-52.65324301   -20.36    13.59  7.9754  0.921
-50.17773787    10.16   -16.96  7.1650  1.029
-40.43846972   -96.68    35.46  8.4980  0.641
-55.90909728     7.23    -6.49  8.9227  0.453
-32.17623938   -17.14     8.43  8.0990  1.450
-52.20407731    -8.31     5.48  7.9965  0.114
-57.37503532    -8.75     5.10  7.9536  0.691
-77.86738316   -71.86   -71.37  9.1056  0.780
-44.57096826    -5.95   -34.18  8.3722  1.632
-63.76410398   -17.28     2.80  8.2863 -0.002
-55.51968821   -40.35    15.44  6.8711  0.058
-39.50561917   -26.89    12.11  9.1151  0.849
-26.59459452   -55.31    20.21  8.5269 -0.034
-59.90343655   -39.41    11.50  6.2862  0.194
-28.61410602  -224.28    60.11  7.3558  0.544
-29.72832736    36.34   -49.47 11.0258  0.272
-18.71489924    -5.09    -2.93  8.6912  1.196
-52.37938472   -19.24    10.47 10.4497  0.340
-27.70969891   -37.62   -14.40  8.3453  0.372
-16.14211278   -46.44     9.87  7.4607  1.005
-28.97845421   -11.69   -19.13  7.8042  0.406
-36.90838348   -44.33    56.94  7.5774  0.999
-65.54023936   -10.85     4.73  8.8268  0.058
-19.30816426   -36.72     2.73  6.7558  0.140
-41.50573915   -15.92     4.48  9.4620  0.064
-72.26374940     0.20     3.82  9.0754  1.422
-62.30590088   -37.91    27.15  8.3586  0.407
-51.20466409   -41.32    11.71  6.1399  1.435
-18.31133471  -119.25    11.56  8.4522  0.521
-33.06113862    -9.62     0.88  8.7622  0.021
-20.66964635   -90.01   -14.14  6.6677  0.477
-34.12734776   -22.48     8.32  7.4244  0.010
-74.42670641    31.09   -50.40  8.6739  0.642
-36.42284497    19.15    -4.77 10.1993  1.382
-51.53252551   -57.35     7.56  9.9584  0.633
-55.82344852   -72.55    16.78  9.3804  0.503
-30.92218096   -45.83    10.68  8.2913  0.465
-70.51309854    -8.15     4.08  8.3850  0.005
-29.66987299    15.38    -7.41  8.0412  0.456
-57.91302854    -5.41     5.18 10.7437  0.490
-61.33231981   -24.73     7.20  3.5298  1.541
-32.67268188   -51.68    -7.91  9.7229  0.613
-71.20576327   -38.36    29.31  9.0642  0.350
-66.59158180   -18.46     3.30  7.8204  0.038
-80.92320104   -21.10    17.53  8.1406  1.041
-41.51453998    10.93   -32.41  8.5582  0.415
-72.86823095   -11.94     9.52  9.3570  0.357
-52.48854100   408.70     4.58 10.1634  0.447
-26.86318920    -0.68    -4.41  8.9904  1.356
-25.08032282   -20.27   -40.51  8.8570  0.599
-46.83494295   -23.20     1.33  6.5589  0.329
-34.41536360   -35.14     1.44  8.2677  1.327
-45.08345335   -13.92    10.91  8.9984  0.761
-58.53264303   -14.68     6.00  8.7829 -0.030
-54.39917711   -16.99    14.61  8.3876  0.046
-87.72845533    -4.27    19.88  8.8519  1.224
-65.42950742   -10.72     0.18  6.8388  0.149
-37.85880848   -12.21     0.21  8.8203  1.429
-47.94726447   -13.47     8.07  8.0045  1.424
-23.87628329   -31.36     2.98  7.4853  1.018
-33.65110556     4.79    -4.52  9.2599  1.418
-17.53679671     9.50    -7.34  8.4738  1.345
-48.41794680   -29.85    13.62  7.4996  1.664
-59.35488298    -8.89    -3.51  8.4796  0.407
-21.58899241  -119.55    54.70  7.3812  0.227
-22.65592428   -44.62    24.09  9.4652  0.585
-28.82162335    11.26   -23.10  9.1548  1.166
-63.39097406   -76.36    24.20  8.7498  1.235
-50.91969535    -9.51     0.91  9.0273  1.315
-66.17235091   -10.44     5.49  8.6955  0.028
-73.89828678   -12.25    -2.78  8.6238  1.356
-48.35347834   -39.13    -4.44  8.7872  0.513
-54.62317758   -10.81    -4.28  7.8928  0.007
-27.55328892   -21.72     2.92  8.4263  1.052
-21.02623897    21.25   -24.64  7.4727  1.399
-42.72329619    -2.18    -4.48  8.3837  1.384
-34.38321348   -47.81   -22.35  9.4246  0.621
-48.76647722   -21.38    12.25  8.4111  0.968
-40.57118121    -5.41     6.36  8.1573  1.297
-40.23937556    -0.57    -5.91  8.0686  0.285
-28.99202663   -15.86    11.14  5.6079  0.277
-27.19212935  -145.07    30.27  8.6382  0.827
-45.57313227   -13.66     7.93  8.7987  1.630
-82.91073411    47.77   -18.47  6.8485  0.996
-50.82372221   -17.79    12.41  7.9124  0.298
-57.44402525   -20.25     3.50  8.4834  0.389
-52.33158887    23.40    -7.79  7.7256  1.429
-52.73287239   -37.42    31.51  8.1830  1.233
-54.57884246    43.20   -39.86  8.7786  0.443
-26.50024139    37.99   -41.36  8.0895  0.940
-41.66849766   -28.10     3.62  5.9534 -0.063
-56.55987129   -17.68   -20.17  7.9144  0.387
-42.74339257   -23.22    -5.10  9.4149  0.459
-35.76506652   -23.95  -108.51  7.7532  0.632
-36.80459720   -34.08    10.02  6.4587  1.282
-56.11067519  -239.64   116.05  5.9113  0.481
-49.91259019   -14.41     6.46  7.9842  1.632
-17.54265492    -2.91    -3.32  9.5065  1.630
-38.40872675   -15.86    -0.36  9.2691  1.486
-31.76027828   -13.22    -1.24  9.3104  0.947
-66.95391492   -88.70    33.83  8.0675  1.193
-23.18136452     5.47     1.12  7.7521  1.034
-36.40523003   -42.99    24.20  8.5150  1.274
-55.33645319   -11.63     8.57  8.6781  0.941
-20.31119851   -13.74    -3.42  8.7503  1.005
-56.02077858   -50.66    23.57  7.0586  0.200
-50.71611622   -10.99     6.46  6.8439 -0.143
-64.67628786   -34.41    12.43  5.6815  0.042
-15.32594992   -38.66     0.83  8.7543  0.267
-34.61655191   -43.02    28.04  6.7673  0.098
-39.22945951     9.31    -5.60  9.3120  1.111
-37.63236348   -12.07     3.22  7.9349  0.042
-67.34615699   -14.85     2.22  8.0676  1.556
-61.10808770    -9.79     6.20  8.1056 -0.036
-50.11948736   -11.96     5.56  9.0058  0.100
-18.78479570   -24.56    -3.35  8.7536  1.115
-25.28752873    -0.58    -7.20  9.1227  1.296
-32.54817757    18.61   -52.94  9.8265  0.944
-45.64687014     0.53    -0.77  7.9529  0.014
-43.34470165    -9.57     1.15  8.5711  0.019
-55.02931448   -14.21     3.41  4.7165  1.600
-30.99569949   -22.60    15.84  7.5641  0.890
-59.14609501    -5.75     1.94  6.9150 -0.120
-65.13724381    -8.37     2.83  6.4692  1.556
-32.73370003    -8.07    -0.62  9.2068  0.900
-34.41901001    -6.83    -9.95  9.1745  1.641
-71.55488203   -48.35    35.28  9.6180  0.545
-28.96236424    39.56     1.87  8.4184  0.629
-75.71056227     5.85     4.45  9.9960  1.183
-22.52338916     2.21    -5.22  7.9581  0.960
-22.97123467    -8.54   -13.18  7.4465  1.619
-47.96123658    13.83   -12.91  6.7497  0.122
-51.56788477   -40.32    15.26  6.9209  0.439
-57.50711297    -5.94     3.96  7.7039  0.566
-57.05037149   -27.87     5.81  8.9568  0.367
-47.09900267    -7.68    -0.87  8.4329  0.075
-53.62050695    -8.16    -2.97  9.0814  1.380
-67.16793707    -8.08     6.65  7.0832  0.100
-39.70252704   -19.73     5.28  7.3196 -0.002
-31.61577036   -29.07   -12.42  8.1104  1.031
-34.51299070     1.80    -5.97  9.2222  0.673
-46.11367811   -20.33     2.45  8.1335  1.639
-50.76949304   -14.66    -1.18  9.0604 -0.073
-56.61539747   -24.78    12.56  7.9489  0.068
-52.60172077    -7.97     4.90  7.2446  0.153
-31.58295606   -42.26    10.42  7.5055  0.979
-23.10261415   -10.14    17.68  7.6454  0.958
-33.12873362   -23.71    10.12  7.4778  0.198
-86.55689327   -46.90    28.87  7.9013  0.441
-81.64851715   -53.59    35.38  7.3035  0.239
-47.69909971    -9.17     3.86  5.7605  1.667
-46.44494204   -16.59   -18.45 12.0410  0.000
-66.06365051   -16.18    13.03  7.5535  0.068
-57.65814098    -5.81     1.15  8.8837  0.016
-59.37662748    -7.58     3.11 10.4117  0.906
-63.33670606   -17.15     3.40  7.9384 -0.023
-16.71720494    -3.69     1.63  8.7470  1.617
-72.13029949    -1.29    23.03  6.9688  1.578
-14.31375497  -295.58   -59.89 11.2054  0.815
-18.96193206    -7.97    -7.23  8.8340  0.228
-60.22757648   -29.88    11.38  9.4101  0.400
-35.87492427   -10.82     5.56  8.7278  1.674
-30.51129955   -26.50    11.38  8.7650  1.299
-23.64438545   -87.55  -125.88  9.8526  0.678
-23.64038322   -45.77   -31.93  7.7116  1.118
-31.81378586  -142.96    47.09  6.6764  0.505
-57.76627160    -1.50   -14.46  8.2436  1.633
-16.35076095    25.29   -25.03  8.6846  0.671
-57.16977922    -9.44     4.95  7.7275 -0.105
-42.05523303    -9.34     0.26  8.7148  0.967
-71.15536849   -24.97     4.87  8.7226  0.055
-71.14853872   -23.27     6.03  8.1631  0.008
-53.66412835    -6.83    15.14  7.7539  0.523
-55.32140569    -5.96     3.60  8.5567  1.080
-68.06557253    -5.99     2.52  7.6766 -0.006
-19.05047366  -151.89   100.64  7.6010  0.486
-56.49666768    -7.57     2.17  7.8403  0.350
-47.56589337    19.76    -6.61  6.7548  1.576
-42.87240168   -23.97    -4.87  7.3219 -0.027
-67.52577324   -24.02     0.46  8.4125  0.026
-33.63063060   -14.47     6.93  8.7089  1.610
-67.52063545   -48.38   -11.16  9.0761  0.116
-15.48063377  -218.99   295.88  7.2885  0.553
-63.44830881  -185.31    78.50  8.6435  0.700
-56.04322418   -18.30     1.47  4.4508 -0.102
-51.86159134   -12.20     4.66  9.0342 -0.098
-28.74125597    31.33    94.44  9.2998  0.728
-71.16264043    -9.92     3.92  8.6399  0.583
-43.86544886   -18.64    13.70  9.1582  0.434
-17.98488790   -31.57   -28.80  6.5891  0.402
-52.50585256   -91.98   211.12 10.3746  1.153
-58.48383727    -7.39     6.07  7.4053  0.872
-17.72749552  -455.03    97.85 11.3637  0.000
-34.78855701    -2.34     8.22  9.4683  1.500
-17.59700784     1.66  -110.82  8.8868  0.623
-51.74901108   -15.48    -0.41  8.3593 -0.086
-41.09865828    -6.85    -0.04  9.2870  0.440
-51.71458029   -15.56    -0.89  8.1497 -0.020
-13.78651578   -42.83    -4.11  6.6006  0.099
-55.68251390   -14.70   -10.08  9.2405  0.380
-37.13272640   -19.66     5.79  8.3687  0.051
-44.53975135    -7.68     2.50  8.0204  0.042
-17.04900551  -460.11   118.73  9.4964  0.779
-54.06157859   -70.37    51.60  8.9610  0.651
-51.74133485   -10.36     4.26  7.8536 -0.031
-38.38155155    69.78   -86.95  9.7071  0.642
-25.37299492   -16.05    -5.96  6.8795  1.039
-37.35189613   -19.06    12.33  8.8062  0.420
-61.07410339    -6.07     4.53  8.9269  0.909
-35.36040028  -165.21   -27.33  9.1686  0.661
-26.26216917   -39.37   -15.01  8.3455  0.560
-23.71087737   -49.92    16.56  6.5328  0.193
-51.24258501     7.38   -10.67  8.8549  0.077
-29.93798664   -49.03    12.32  7.9689  0.881
-69.32159308   119.81   -74.28  8.6318  0.567
-52.02975330   -15.20    -0.14  8.1402 -0.115
-28.27819371    -3.82    -2.59  8.6554  1.245
-22.52851153   -47.96    -0.22  6.5468  0.068
-67.77203472    -8.51     4.91  8.9564 -0.008
-69.33308474   -22.22    15.01  8.2032  1.339
-15.20004920   -30.12    24.66  8.7844  1.304
-44.51073374   219.60  -156.17  9.9311  0.996
-14.30632243  -338.98   114.98 10.6344  0.968
-24.43588691   -44.93     2.57  7.5796  0.649
-45.87176237    -6.69     2.29  8.4313  1.289
-62.03612324   -38.84    35.83  8.5993  0.997
-47.35912331   -28.44   -10.88  9.5261  0.608
-75.03009687   -30.23    47.92  8.5794  1.206
-18.03446443   -12.30    -6.72  7.0837 -0.109
-63.04585635   210.09  -256.28 10.0916  0.987
-20.57578156    -2.18     4.19  7.2874  1.170
-58.78069743    -5.97     0.67  7.9544  0.466
-49.53118361   -15.48   -13.17  7.9861  0.334
-46.56667825   -36.18    47.99  8.6962  0.681
-24.20807417  -192.53    38.85 10.4008  0.864
-49.29353892    -9.07     1.34  7.5124 -0.139
-21.27608246    -1.12     3.12  8.1232  0.085
-58.26563714   -48.68    27.89  6.4994  0.884
-65.69029360   -41.06    21.43  7.9390  0.257
-54.58689015   -30.44    -5.65  7.9345  1.420
-19.86659303   -35.49     8.90  6.1397  0.035
-45.33089032   -20.69     3.00  8.3523  0.140
-32.41565787   -12.03     4.16  8.8486  0.457
-55.05209980   -39.38    11.21  7.9593  0.178
-47.97281822   -38.71    14.56 10.8846  3.500
-41.65010791   -27.24    60.46  4.9905  1.095
-53.76358865   -80.45    63.30  8.3576  0.970
-47.97150733   -31.73     5.16  7.4208  0.116
-29.55603418   -27.01    56.09  7.6165  0.545
-28.84769582    -6.15    31.28  9.5899  0.955
-60.17612870   346.62  -411.66 10.5902  1.440
-40.98101315   -26.97    10.25  9.3109  0.432
-62.35306650   -17.77     1.07  8.5947 -0.020
-43.54810088     5.88    -5.14  8.9451  1.005
-77.06397510   -36.03    10.30  9.8028  0.560
-62.07303370    -9.82     7.41  7.6489  0.016
-34.00580159   -55.77   -28.21 10.1194  0.750
-51.61375867   -16.33     0.98  7.8958 -0.088
-58.52766524   -42.97    17.04  8.5902  0.366
-19.43299237    -0.13    -0.20  8.1878  1.461
-45.47062977   -20.38     2.69  9.4285  0.438
-26.67358482    10.61    -1.74  8.5393  1.032
-28.01358418   -78.27    36.51  8.4455  0.656
-59.62455493    -6.87     2.33  7.5734  0.881
-75.02610330   -18.60    -5.34  9.4387  0.416
-60.66975054    -8.81     8.59  8.3130  1.743
-66.90152521   -22.39    11.48  4.9278 -0.128
-24.33361792    22.44   -24.90  6.8190 -0.053
-16.16963781    -9.19    -9.44  9.0459  0.951
-61.26569135    -8.83     6.81  7.6538  1.247
-43.10311605    -2.51     3.47  8.7517  1.089
-50.52720768   -40.27    34.11  7.2785  0.375
-32.55730874   -14.49   -14.61  8.3758  1.346
-32.76822949    -5.76   -25.35 10.1119  1.105
-43.17320847   -13.44     1.41  8.9111  0.071
-48.33480219    37.40  -109.14  9.7687  0.921
-54.37783715   -75.87    40.91  8.8679  1.090
-30.16223462     2.94   -11.11  6.3296  0.304
-40.69548496    15.39    -3.52  7.3889  1.397
-13.37704900  -141.74   -42.24  6.7113  0.510
-37.41086531   -52.61   -33.40 10.8917  0.000
-61.71706268    -7.41    -6.12  8.4012  1.050
-50.34861468  -148.68    56.72  8.0267  0.501
-49.61522760   -22.82    11.62  8.3762  1.378
-38.00970921  -159.22   -53.00  5.4067  0.250
-68.27797522   -16.72     2.02  8.3567  1.003
-26.05634870   -68.22    33.14  7.2640  0.445
-42.07924869    -7.00   -11.99  8.4775  1.150
-36.63600810   -26.87    16.26  9.5363  0.173
-30.92596484   -37.10    11.79  7.9532  0.209
-23.46724769  -125.35    -1.82  8.2537  0.573
-70.72924508    -9.99     5.08  8.2773  1.639
-49.46600040   -16.44    11.47  9.1602  0.113
-20.23768702   -77.86     2.37  8.1315  0.279
-41.95321940  -112.87    12.88  6.4015  0.884
-61.56942683    -6.25     4.94  8.2566  0.783
-55.34446556   -41.21    27.77  9.6298  0.393
-54.22547674    43.40    40.37 11.0677  1.892
-44.24243759   -13.56     4.09  7.6487  0.038
-71.71557861   -35.10     3.59  8.5222  0.455
-57.95390442   -21.71   -11.14  6.4674  1.517
-59.51330250    -5.66     4.63  8.4499  0.324
-29.64577141   -38.02    99.61  7.0594  0.659
-13.32121831   -14.15   -18.43  8.8203  1.318
-31.52947072    -2.40    -4.84  8.8713  1.096
-51.01723160    -1.25    -8.99  9.6053  0.983
-49.20908414   -26.54     8.01  9.1468  1.083
-64.81515171   -14.49    -1.81  8.7537  1.275
-46.80926263   -24.51     9.50  8.8923  0.100
-44.03824713   -19.65     7.20  7.6518  0.385
-17.43297744   -27.00     6.71  8.5802  0.977
-27.42599136   -48.05    15.91  8.5802  0.370
-24.60669075  -341.77    72.07  7.2550  0.665
-69.91768584   -31.21     2.23  7.2031  1.654
-68.12959176   -15.85    14.47  7.6973  0.069
-35.64725085    -8.55     7.66  8.4289  0.355
-65.22840490   -58.25    19.98  8.8752  0.594
-61.55188606   -13.05     7.79  7.6082 -0.050
-74.03154485   -16.29   -27.67  4.0753  0.369
-38.58049812   -25.94   -13.20  7.8238  0.340
-25.56578230   -77.30    17.89  7.2118  1.283
-41.14114360    -9.83     1.35  8.1475 -0.020
-19.09246203   -14.49   -10.83  8.1847  0.466
-33.48850374   -63.56    31.61  7.6816  1.533
-54.32194370    -8.39     4.14  6.7052  1.510
-41.85268519   -56.01    38.76  8.2478  0.456
-21.52843772   -17.93     7.72  8.6630  0.227
-73.97175867   -24.70    10.40  6.2168  0.071
-27.27664444    -9.94     1.23  8.3460  0.390
-24.97203495    -4.05    -4.18  8.0975  1.539
-79.12865524    -7.86     2.50  9.2501  1.720
-38.30324882   -13.11    -6.24  7.0520  0.029
-40.24783064     8.17   -17.51  8.9384  0.973
-27.62145072   -31.47    12.13  8.4164  1.217
-63.63624066   -11.39     7.89 11.1919  0.202
-58.57631777   -74.54     6.79  6.0099  0.315
-50.40768321    -4.34    -0.66  9.7076  1.330
-57.08649609   -13.87     3.48  8.2277 -0.010
-26.35806111   -40.29    -0.83  7.5949  0.993
-50.10672045    54.42   -26.05  6.8797  0.436
-57.06382802    -7.52     5.28  8.0038  1.083
-35.90071336     7.25    -6.07 10.8884  0.658
-19.80324602   -73.88   -31.61  8.3995  0.630
-58.87247748   -19.77     7.60  6.9781 -0.088
-23.53771021   -30.85     6.70  9.1702  1.421
-52.56535314   -10.27     6.26  7.8923  0.022
-42.46737375    -1.56   -12.33  6.3511  1.006
-15.02670299  -167.74    59.17  8.8965  0.641
-38.67403271   -31.58     1.20  8.9802  1.292
-29.19385327   -55.92     5.61  6.7449  1.491
-44.88836862  -146.10    51.57 11.3368  0.940
-64.11637113   -18.04     3.03  8.7990  0.040
-45.18263783   -53.66   -32.48  8.3672  0.516
-65.06628996     4.22   -17.53  9.5780  0.614
-21.95317152    15.98    -1.07  7.9643  1.039
-19.59970778   -37.21    -2.06  7.1477  0.040
-30.67435593   -15.37     6.62  9.5365  0.960
-60.83257983   -10.13     3.98  8.0714 -0.024
-54.98884436   -42.98    58.02  7.0737  1.603
-78.59793500   -41.77     1.35  8.0107  0.210
-20.32533997   -35.32    14.63  7.3744  0.987
-13.13277542   -72.40    27.64  7.5710  0.398
-66.63699610   -18.40     7.44  9.0424  0.723
-16.63943824   -80.18     6.28  8.4558  0.416
-57.82694266    -6.28     4.50  9.3477  0.095
-16.83609582  -129.17   -79.76  3.9567  1.456
-62.85947879   -21.17    16.99  8.0185  1.411
-17.97899146  -572.39   191.78 11.0358  1.224
-76.45224996  -105.26    94.53  8.7152  0.748
-14.96819257    -1.93     5.13  9.7009  0.460
-42.73839851   -94.59   -38.69  6.2999  1.129
-45.56273788   -85.04    79.81  7.6514  0.643
-42.88105623   -25.56     3.06  8.4540  1.114
-63.29859550    -8.14    10.09  7.0618  0.006
-84.34834749   -15.02    17.21  8.1354  1.537
-53.89147410   -10.53     5.62  6.8972  1.972
-28.23621927    -7.86    -6.33 10.1552  0.480
-29.86324128     9.34    -8.76  9.0033  0.917
-55.47683399   -71.89     9.26  8.8245  0.425
-48.08638967    -7.96    -3.12  9.0710  0.906
-55.47737534   -25.65    18.61  9.5423  0.946
-64.85380681   -45.11    19.77  8.9416  0.320
-30.01241468   -30.49    -1.24  8.4817  0.390
-43.40371682   -18.11    -4.44  8.3499  1.220
-57.11534733    -8.32     2.91  9.4663 -0.026
-39.36198962   -29.80    -2.14  6.9627  0.972
-58.64061343    -8.03     3.90  9.7617  0.395
-34.70082173    -4.03     2.33  8.3939  1.579
-21.75610287   -97.54   -99.58  9.4740  0.799
-32.26155617    24.11   -72.97  8.4278  0.510
-78.73596499   -14.94     8.73  9.0215  0.122
-20.45370168    -5.18   -11.06  8.4146  1.141
-75.14945316   -82.00    26.21  7.8744  0.296
-33.68316793   -32.00    -7.74  8.4648  0.426
-16.36906123   -98.53   104.29  8.7817  0.581
-41.17632844   -52.92    -7.88  9.2075  0.378
-38.11231348     0.42    -3.22  8.2781  0.524
-47.65968018     8.73   -59.29  6.6315  0.295
-64.35173042   -15.92    12.10  7.4272  0.007
-51.40853144    -9.32     1.88  8.5365  0.074
-62.90171617  -287.85  -353.62  9.6031  1.230
-31.98499036   -24.34     1.88  8.9330  0.175
-54.87731434   -13.41     4.67  5.7197  1.556
-73.16799220   -31.04    17.04  6.6450  1.725
-59.66955534    -6.41     4.78  9.6813  0.836
-30.07292797     3.33    -2.42  8.3244  0.060
-53.67334154    -1.35   -15.50  9.3054  0.485
-17.61100259   -16.53   -12.30  8.9546  1.230
-36.43672944    -1.00    -1.68 10.1641  0.000
-57.60705061    -5.80     3.95  7.1700  0.468
-69.88267332    -6.88     3.36  8.5305 -0.011
-73.26150449    -3.88    -6.98  9.0926 -0.015
-41.15380734   -38.40    11.26  8.1620  0.384
-62.00581394   -83.75   -86.10  9.0874  0.770
-68.49847746   -16.60     3.55  8.2487 -0.026
-18.25610408   -62.02    29.29  7.8321  1.051
-31.06780230   -81.61    10.53  4.4113  1.429
-42.05300992   -61.54   -13.32  7.1391  0.103
-51.53656837   -23.38    10.71  8.5167  1.220
-37.21312910   -21.09     9.77  7.7172  1.486
-46.70828825    -4.89     4.30  9.3991  1.131
-62.01866526   -91.24   -92.42  7.6931  0.560
-47.40448599   -51.81    12.89  9.3945  0.513
-17.41524423   -30.36    55.89  7.9116  1.054
-23.78311474     2.00    -4.24  8.4612  0.912
-36.24606264   -31.61     9.30  9.4792  1.043
-57.63881366    -6.51     3.82  4.7785  0.474
-18.28679447   -14.19    -3.32  7.1047  0.038
-65.70471382   -81.81    20.74  6.0366  0.091
-21.44185447  -109.87     9.37  8.6385  0.630
-34.49063668     4.92   -15.47 10.2639  1.100
-23.19899688  -313.10    75.67  9.1244  0.627
-53.67685375  -105.29    63.67  8.2742  1.036
-63.52328545   -19.40     8.32  8.3729  0.206
-44.51359752   -17.32    10.37  8.4220  1.231
-53.90391844   -27.54    -7.25  8.1581  1.080
-51.59073669   -26.64     1.42  8.5082  1.547
-60.53074300   -14.41     2.98  8.9490 -0.020
-67.36832755  -219.24   119.81  8.4892  0.557
-44.34225859     5.15    -3.61  7.2550  0.896
-49.61621697   -44.31    -9.00  9.3304  0.560
-45.09876461   -25.87   -13.47  7.4994  1.127
-38.70367601   -77.63   -32.49  7.5601  0.485
-34.39938609  -120.80   -39.61  7.6448  0.585
-15.91823851   -66.50   -22.41  8.1493  0.835
-58.73940870   -14.47     2.36  3.8953  0.317
-56.20670990     1.83     3.01  7.9310  0.219
-48.02097108   -11.46     0.42  7.4658  0.469
-21.70167262  -209.02    26.58  8.6330  0.688
-35.38998498    -6.93     1.96  9.6174  0.216
-49.26971959    -9.67     2.84  8.3282 -0.015
-42.00991040    -9.01     1.95  8.2201  1.438
-49.40569137    18.85   -45.32  6.2220  1.506
-57.19846820   -10.65     2.39  6.7787 -0.141
-56.55347774   -10.11     2.95  9.3753  0.010
-25.80733804   -56.36    23.04  8.5868  0.672
-59.22647621   -15.37     2.45  9.3864  0.020
-16.28936768   -55.70    86.49  8.0128  0.724
-36.22012224    -7.94   -27.94  7.5459  0.412
-59.35019364    -5.65     2.85  8.8088  1.035
-24.26580808  -137.42    97.99  9.7818  1.170
-63.16457313   -17.28     2.29  6.4148 -0.039
-52.56179673  -102.34    55.45  7.8862  0.824
-65.69420573   -10.95    -4.06  9.0937  0.478
-51.70518171    31.60   -34.04  9.0494  1.045
-84.13875316    -4.57    -6.69  8.9041  0.477
-68.97212499    -6.39     2.57  8.8935 -0.020
-46.56061443   -17.96     3.34  7.6409  0.025
-20.68173235     4.59   -11.57  9.5912  0.500
-81.05594493   -52.68    37.32  7.7243  1.107
-51.07192963    -5.12     5.27  8.1160  0.026
-33.67225016    -8.79     8.48  8.6785  1.380
-26.59956148    -0.24    -7.52  9.4938  1.547
-19.52474908     6.88   -25.78  6.8678  1.010
-51.78522514   -55.57    20.01  9.1915  1.028
-24.39196764  -112.21    69.27  9.0416  0.547
-43.83839849   -34.26    24.20  6.7103  0.068
-27.36539692   332.56  -264.03  8.9982  0.813
-64.59421596   -16.62    12.27  9.3011  0.408
-14.46563201   -33.28    -7.73  8.3314  1.025
-62.58866007    -8.91     8.06  8.7624 -0.040
-57.23305050   -17.11    19.38  6.8538  1.058
-62.58402285   -12.81     5.28  8.3511 -0.030
-60.89468886    -4.45     3.21  7.6832  0.259
-66.69659387    -8.82     3.46  8.8864  0.156
